TI,code,age,gender,edu,manage,conhour,contype,lmx,infshare,voice,paysatis,fair,proact,caropp
1.333333333,ALviolet,-9.361072902,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,-0.158127006,-1.017881706,-0.186898212,0.296882164,0.44579608,0.061072902,-0.292755617
2,ALviolet,-6.361072902,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,0.425206327,1.482118294,-0.186898212,-0.036451169,0.75829608,0.261072902,0.707244383
2,ALviolet,16.6389271,0.570151307,-0.920220083,-0.237276479,-15.56189821,-0.804676754,0.008539661,-0.517881706,0.063101788,0.296882164,-0.36670392,-0.338927098,-0.292755617
1,ALviolet,-0.361072902,-0.429848693,1.079779917,0.762723521,8.438101788,-0.804676754,0.841872994,1.482118294,-0.436898212,0.630215497,0.25829608,1.061072902,0.37391105
1,ALviolet,2.638927098,-0.429848693,1.079779917,-0.237276479,8.438101788,-0.804676754,0.591872994,0.482118294,-0.436898212,0.630215497,-0.36670392,-0.338927098,0.707244383
1,ALviolet,8.638927098,-0.429848693,1.079779917,0.762723521,8.438101788,0.195323246,-0.741460339,0.982118294,1.063101788,0.963548831,-0.24170392,-0.338927098,0.040577717
3.333333333,ALwit,13.6389271,0.570151307,-0.920220083,-0.237276479,-11.56189821,0.195323246,-0.158127006,-2.017881706,-0.686898212,-0.036451169,-0.80420392,0.061072902,0.040577717
1,ALwit,17.6389271,0.570151307,-1.920220083,-0.237276479,-26.56189821,0.195323246,0.175206327,1.482118294,1.813101788,0.630215497,0.63329608,0.061072902,0.707244383
3.333333333,ALwit,-4.361072902,0.570151307,-3.920220083,-0.237276479,-6.561898212,0.195323246,-0.658127006,-2.517881706,-0.936898212,-1.703117836,-0.99170392,1.061072902,-1.62608895
1.666666667,ALzilver,-10.3610729,0.570151307,1.079779917,-0.237276479,8.438101788,0.195323246,-0.574793673,1.482118294,1.063101788,-0.369784503,0.13329608,0.061072902,0.707244383
1,ALzilver,-9.361072902,0.570151307,1.079779917,-0.237276479,-29.56189821,0.195323246,0.175206327,1.482118294,0.563101788,-0.036451169,-0.05420392,0.061072902,0.040577717
1,ALzilver,19.6389271,0.570151307,-0.920220083,-0.237276479,-19.56189821,0.195323246,-0.074793673,1.482118294,1.563101788,-0.036451169,0.63329608,0.061072902,1.37391105
1,ALzwart,15.6389271,0.570151307,-0.920220083,-0.237276479,8.438101788,0.195323246,1.258539661,1.482118294,1.813101788,0.630215497,1.63329608,1.061072902,1.707244383
1,ALzwart,15.6389271,0.570151307,-0.920220083,-0.237276479,2.438101788,0.195323246,0.091872994,1.482118294,-0.186898212,-1.369784503,-0.11670392,0.061072902,0.040577717
2,ALzwart,-14.3610729,0.570151307,-0.920220083,-0.237276479,0.438101788,-0.804676754,-0.241460339,1.482118294,1.063101788,-0.369784503,-0.11670392,-1.138927098,0.040577717
2.333333333,ALzwart,16.6389271,0.570151307,-0.920220083,-0.237276479,3.438101788,-0.804676754,-0.324793673,-2.517881706,-0.686898212,-0.036451169,-0.11670392,-0.938927098,-0.292755617
1,ALzwart,-12.3610729,0.570151307,1.079779917,0.762723521,6.438101788,0.195323246,0.758539661,-0.517881706,0.813101788,0.963548831,0.13329608,0.461072902,-0.62608895
5,EVblauw,-12.3610729,0.570151307,1.079779917,-0.237276479,-16.56189821,0.195323246,0.425206327,0.482118294,-0.436898212,-0.036451169,0.63329608,-0.138927098,-1.959422283
2.666666667,EVblauw,-0.361072902,-0.429848693,0.079779917,0.762723521,6.438101788,0.195323246,0.091872994,1.482118294,1.313101788,-0.369784503,-0.36670392,1.061072902,0.37391105
3,DWblauw,12.6389271,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,0.008539661,0.482118294,0.813101788,0.630215497,0.63329608,0.061072902,0.707244383
1,DWblauw,20.6389271,0.570151307,-0.920220083,-0.237276479,-11.56189821,0.195323246,-0.074793673,1.482118294,-0.686898212,1.296882164,0.07079608,-0.938927098,0.37391105
2,DWblauw,8.638927098,-0.429848693,1.079779917,-0.237276479,6.438101788,0.195323246,0.341872994,-0.017881706,1.313101788,0.630215497,0.19579608,1.061072902,0.707244383
1,DWblauw,27.6389271,0.570151307,-0.920220083,-0.237276479,-7.561898212,0.195323246,0.841872994,1.482118294,1.563101788,1.630215497,1.63329608,1.061072902,1.707244383
2,DWblauw,31.6389271,0.570151307,-0.920220083,-0.237276479,-11.56189821,0.195323246,0.258539661,1.482118294,0.813101788,0.630215497,0.44579608,0.461072902,0.37391105
2.333333333,DWbrons,-0.361072902,0.570151307,1.079779917,0.762723521,-2.561898212,0.195323246,-0.741460339,-0.517881706,1.063101788,1.630215497,0.13329608,1.061072902,0.37391105
1,DWbrons,3.638927098,-0.429848693,-0.920220083,-0.237276479,8.438101788,-0.804676754,-0.241460339,1.482118294,-0.436898212,0.296882164,0.07079608,-0.138927098,0.707244383
2.333333333,DWbrons,17.6389271,-0.429848693,0.079779917,0.762723521,8.438101788,0.195323246,0.008539661,0.482118294,-0.436898212,-0.703117836,-0.61670392,-0.138927098,-0.62608895
1.333333333,DWbrons,5.638927098,-0.429848693,1.079779917,0.762723521,8.438101788,0.195323246,0.758539661,-1.517881706,-1.936898212,0.963548831,-0.99170392,0.861072902,-0.62608895
1.666666667,DWbrons,11.6389271,0.570151307,-0.920220083,-0.237276479,8.438101788,0.195323246,1.008539661,0.482118294,-0.436898212,-0.703117836,0.44579608,0.061072902,-0.62608895
1.333333333,DWbrons,8.638927098,-0.429848693,-1.920220083,-0.237276479,8.438101788,-0.804676754,0.175206327,-0.517881706,-0.436898212,-0.036451169,0.57079608,0.061072902,0.707244383
1.666666667,DWbrons,-1.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-0.908127006,-1.517881706,-0.436898212,0.296882164,-0.05420392,0.261072902,-0.62608895
2.333333333,DWbrons,12.6389271,0.570151307,1.079779917,-0.237276479,0.438101788,0.195323246,-0.658127006,0.482118294,0.313101788,-0.369784503,-0.55420392,-0.138927098,-0.292755617
2,DWbrons,-18.3610729,0.570151307,-0.920220083,-0.237276479,-7.561898212,0.195323246,0.175206327,-1.517881706,-0.686898212,-0.369784503,-0.11670392,0.061072902,0.37391105
2.333333333,DWbruin,3.638927098,-0.429848693,-0.920220083,-0.237276479,8.438101788,0.195323246,0.091872994,-0.017881706,0.313101788,-0.036451169,-0.30420392,0.061072902,0.707244383
2,DWbruin,-0.361072902,0.570151307,1.079779917,-0.237276479,-3.561898212,-0.804676754,-0.408127006,-0.517881706,-0.186898212,0.296882164,-0.11670392,-0.338927098,0.37391105
1,DWbruin,16.6389271,0.570151307,-0.920220083,-0.237276479,-31.56189821,0.195323246,0.258539661,-1.517881706,-0.436898212,-0.369784503,0.32079608,0.061072902,-2.292755617
1,DWbruin,9.638927098,-0.429848693,-2.920220083,-0.237276479,-11.56189821,-0.804676754,-0.074793673,1.482118294,0.813101788,0.630215497,0.25829608,0.061072902,0.37391105
1,DWbruin,15.6389271,0.570151307,-1.920220083,-0.237276479,-31.56189821,-0.804676754,0.008539661,1.482118294,1.813101788,0.630215497,1.19579608,-0.338927098,1.040577717
1.333333333,DWbruin,20.6389271,-0.429848693,-0.920220083,-0.237276479,-21.56189821,-0.804676754,0.591872994,-0.017881706,0.063101788,-1.036451169,0.19579608,0.061072902,0.707244383
2,DWbruin,1.638927098,0.570151307,1.079779917,-0.237276479,-15.56189821,-0.804676754,-0.741460339,-1.517881706,-0.186898212,-0.703117836,-0.36670392,-0.938927098,-0.292755617
3,DWbruin,27.6389271,-0.429848693,1.079779917,-0.237276479,-18.56189821,0.195323246,-0.741460339,-1.517881706,-0.186898212,-0.369784503,-0.80420392,-0.138927098,-0.959422283
2,DWbruin,-10.3610729,-0.429848693,0.079779917,-0.237276479,-7.561898212,-0.804676754,0.091872994,0.982118294,0.813101788,0.296882164,-0.11670392,0.061072902,0.707244383
3.333333333,DWgeel,-13.3610729,0.570151307,1.079779917,-0.237276479,4.438101788,-0.804676754,0.008539661,-0.517881706,0.063101788,-0.703117836,-0.67920392,-0.738927098,0.040577717
1,DWgeel,-11.3610729,0.570151307,2.079779917,-0.237276479,8.438101788,0.195323246,1.258539661,1.482118294,1.313101788,-1.036451169,0.50829608,1.061072902,1.707244383
3.333333333,DWgeel,-12.3610729,0.570151307,2.079779917,-0.237276479,8.438101788,0.195323246,-0.324793673,1.482118294,-1.436898212,-0.703117836,-0.36670392,0.261072902,0.707244383
3.333333333,DWgeel,-12.3610729,0.570151307,2.079779917,-0.237276479,8.438101788,0.195323246,-1.324793673,1.482118294,-0.436898212,-1.036451169,-1.11670392,0.061072902,-0.959422283
3.333333333,DWgeel,-15.3610729,0.570151307,2.079779917,-0.237276479,8.438101788,0.195323246,-0.491460339,-0.517881706,-0.686898212,-0.036451169,-0.36670392,0.061072902,0.707244383
1.333333333,DWgeel,-11.3610729,-0.429848693,2.079779917,-0.237276479,8.438101788,0.195323246,0.508539661,-0.517881706,-0.186898212,-0.036451169,0.63329608,0.461072902,1.040577717
4.333333333,DWgeel,-9.361072902,0.570151307,2.079779917,-0.237276479,8.438101788,0.195323246,-0.158127006,0.482118294,-1.186898212,-1.703117836,-0.99170392,0.461072902,-1.292755617
3,DWgeel,-11.3610729,-0.429848693,2.079779917,-0.237276479,8.438101788,0.195323246,0.091872994,0.482118294,0.563101788,-2.036451169,-0.30420392,0.061072902,0.707244383
1,DWgoud,10.6389271,-0.429848693,-0.920220083,0.762723521,8.438101788,0.195323246,0.008539661,0.482118294,-0.186898212,0.296882164,0.07079608,0.261072902,0.707244383
2,DWgoud,-12.3610729,0.570151307,0.079779917,-0.237276479,-31.56189821,0.195323246,0.758539661,1.482118294,1.063101788,0.630215497,0.25829608,0.061072902,0.37391105
1,DWgoud,-10.3610729,0.570151307,-0.920220083,0.762723521,6.438101788,0.195323246,-0.074793673,1.482118294,1.563101788,0.630215497,0.63329608,0.061072902,1.707244383
1,DWgoud,15.6389271,0.570151307,-0.920220083,-0.237276479,0.438101788,0.195323246,-0.658127006,-1.017881706,-0.686898212,-0.036451169,-0.42920392,0.061072902,0.37391105
3,DWgoud,-8.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,0.341872994,-1.517881706,-0.186898212,-1.036451169,-0.67920392,1.061072902,0.040577717
2,DWgoud,2.638927098,-0.429848693,-0.920220083,-0.237276479,8.438101788,-0.804676754,0.008539661,-0.017881706,0.063101788,-1.369784503,0.32079608,0.061072902,-1.292755617
2,DWgoud,15.6389271,0.570151307,0.079779917,-0.237276479,0.438101788,0.195323246,-0.658127006,-0.017881706,-1.186898212,-0.703117836,-0.55420392,-0.538927098,-1.292755617
3.333333333,DWgoud,12.6389271,-0.429848693,-0.920220083,-0.237276479,6.438101788,0.195323246,-0.158127006,-1.517881706,-0.936898212,-1.369784503,-0.86670392,1.061072902,-1.959422283
1.333333333,DWgoud,-6.361072902,-0.429848693,1.079779917,0.762723521,6.438101788,-0.804676754,-0.408127006,-1.517881706,-0.436898212,-0.036451169,-0.36670392,0.061072902,0.707244383
2.333333333,DWgoud,-11.3610729,-0.429848693,1.079779917,-0.237276479,6.438101788,0.195323246,0.508539661,-2.017881706,0.063101788,-0.036451169,0.25829608,0.061072902,-0.62608895
2,DWgoud,0.638927098,-0.429848693,1.079779917,-0.237276479,8.438101788,0.195323246,-0.408127006,0.482118294,0.313101788,-0.703117836,-0.86670392,-0.138927098,-1.292755617
2,DWgoud,11.6389271,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-1.158127006,-1.517881706,-1.186898212,-0.369784503,-1.17920392,0.061072902,-0.62608895
2,DWgoud,18.6389271,0.570151307,1.079779917,-0.237276479,-11.56189821,0.195323246,-0.741460339,-1.517881706,-1.186898212,-2.369784503,-2.24170392,-0.138927098,-1.959422283
3,DWgoud,20.6389271,-0.429848693,0.079779917,0.762723521,8.438101788,0.195323246,-0.991460339,1.482118294,-0.936898212,-2.369784503,-0.80420392,-0.538927098,-0.292755617
2,DWgrijs,-6.361072902,0.570151307,-0.920220083,-0.237276479,4.438101788,-0.804676754,-0.074793673,-2.017881706,0.563101788,-0.036451169,0.44579608,0.061072902,-0.292755617
1.666666667,DWgrijs,-19.3610729,0.570151307,-2.920220083,-0.237276479,-23.56189821,-0.804676754,-0.491460339,-0.517881706,0.313101788,0.630215497,-0.11670392,-1.538927098,0.37391105
4,DWgrijs,-8.361072902,0.570151307,1.079779917,0.762723521,-31.56189821,0.195323246,-0.408127006,-1.517881706,-1.686898212,-0.703117836,-0.55420392,0.261072902,-0.62608895
2.333333333,DWgrijs,-20.3610729,-0.429848693,-2.920220083,-0.237276479,-31.56189821,-0.804676754,0.425206327,-1.017881706,-0.686898212,-0.369784503,-0.24170392,-0.338927098,0.37391105
3,DWgrijs,-16.3610729,0.570151307,0.079779917,-0.237276479,-23.56189821,-0.804676754,-0.658127006,-2.017881706,-1.936898212,-0.036451169,-0.36670392,-0.738927098,-2.292755617
2,DWgrijs,-16.3610729,0.570151307,-0.920220083,0.762723521,0.438101788,-0.804676754,-0.324793673,-2.517881706,-1.436898212,-0.369784503,-0.30420392,0.861072902,-1.62608895
3.666666667,DWgroen,-16.3610729,0.570151307,2.079779917,-0.237276479,-31.56189821,0.195323246,-0.741460339,-1.017881706,-0.936898212,-0.703117836,-0.67920392,0.061072902,-1.959422283
3.333333333,DWgroen,-12.3610729,-0.429848693,1.079779917,-0.237276479,-31.56189821,0.195323246,-0.074793673,-2.017881706,0.563101788,-1.369784503,-0.05420392,-0.138927098,-0.62608895
4.666666667,DWgroen,-12.3610729,-0.429848693,0.079779917,-0.237276479,-31.56189821,0.195323246,-0.658127006,-2.017881706,-0.686898212,0.630215497,-0.24170392,0.061072902,-1.292755617
4,DWgroen,-19.3610729,0.570151307,0.079779917,-0.237276479,-31.56189821,0.195323246,-0.324793673,-1.517881706,-1.436898212,-0.703117836,-0.05420392,-0.538927098,-1.292755617
3,DWgroen,-21.3610729,-0.429848693,-0.920220083,-0.237276479,-21.56189821,0.195323246,-0.324793673,-0.517881706,-0.936898212,-0.703117836,-0.24170392,-0.338927098,0.37391105
